Level	Date and Time	Source	Event ID	Task Category
Information	16/12/2015 14:14:52	Lfsvc	1	None	Geolocation positioning is enabled.
Information	16/12/2015 14:08:52	Service Control Manager	7040	None	The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information	16/12/2015 14:06:10	Microsoft-Windows-Winlogon	7001	(1101)	User Logon Notification for Customer Experience Improvement Program
Information	16/12/2015 14:04:52	Service Control Manager	7026	None	"The following boot-start or system-start driver(s) did not load: 
dam"
Information	16/12/2015 14:04:43	Microsoft-Windows-DHCPv6-Client	51046	Service State Event	DHCPv6 client service is started
Information	16/12/2015 14:04:43	Microsoft-Windows-Dhcp-Client	50036	Service State Event	DHCPv4 client service is started
Information	16/12/2015 14:04:43	Microsoft-Windows-Kernel-General	1	None	"The system time has changed to ‎2015‎-‎12‎-‎16T14:04:43.029000000Z from ‎2015‎-‎12‎-‎16T14:04:40.898516600Z.

Change Reason: An application or system component changed the time."
Information	16/12/2015 14:04:40	Microsoft-Windows-FilterManager	6	None	File System Filter 'storqosflt' (10.0, ‎2015‎-‎10‎-‎30T02:37:39.000000000Z) has successfully loaded and registered with Filter Manager.
Information	16/12/2015 14:04:40	Microsoft-Windows-FilterManager	6	None	File System Filter 'luafv' (10.0, ‎2015‎-‎10‎-‎30T02:34:43.000000000Z) has successfully loaded and registered with Filter Manager.
Information	16/12/2015 14:04:38	Microsoft-Windows-Wininit	14	None	Credential Guard (LsaIso.exe) configuration: 0x0, 0
Information	16/12/2015 14:04:37	Microsoft-Windows-Ntfs	98	None	Volume \\?\Volume{6b1cc1df-0000-0000-0000-100000000000} (\Device\HarddiskVolume1) is healthy.  No action is needed.
Information	16/12/2015 14:04:37	Microsoft-Windows-Hyper-V-Netvsc	11	(1003)	Miniport NIC 'Microsoft Hyper-V Network Adapter' restarted
Information	16/12/2015 14:04:37	Microsoft-Windows-Hyper-V-Netvsc	3	(1002)	The miniport 'Microsoft Hyper-V Network Adapter' was successfully initialized
Information	16/12/2015 14:04:37	Microsoft-Windows-Hyper-V-Netvsc	12	(1003)	Miniport NIC 'Microsoft Hyper-V Network Adapter' connected
Information	16/12/2015 14:04:37	Microsoft-Windows-Hyper-V-Netvsc	13	(1003)	Miniport NIC 'Microsoft Hyper-V Network Adapter' disconnected
Information	16/12/2015 14:04:37	Microsoft-Windows-Hyper-V-Netvsc	1	(1001)	The VM and host networking components successfully negotiated protocol version '6.1'
Information	16/12/2015 14:04:37	Microsoft-Windows-Kernel-Processor-Power	55	(47)	"Processor 0 in group 0 exposes the following power management capabilities:

Idle state type: ACPI Idle (C) States (1 state(s))

Performance state type: None
Nominal Frequency (MHz): 2295
Maximum performance percentage: 100
Minimum performance percentage: 100
Minimum throttle percentage: 100"
Information	16/12/2015 14:04:37	Microsoft-Windows-FilterManager	6	None	File System Filter 'npsvctrig' (10.0, ‎2015‎-‎10‎-‎30T02:40:23.000000000Z) has successfully loaded and registered with Filter Manager.
Information	16/12/2015 14:04:37	Microsoft-Windows-FilterManager	6	None	File System Filter 'FileCrypt' (10.0, ‎2015‎-‎10‎-‎30T02:37:49.000000000Z) has successfully loaded and registered with Filter Manager.
Information	16/12/2015 14:04:37	Microsoft-Windows-Ntfs	98	None	Volume C: (\Device\HarddiskVolume2) is healthy.  No action is needed.
Information	16/12/2015 14:04:36	Microsoft-Windows-FilterManager	6	None	File System Filter 'WdFilter' (10.0, ‎2015‎-‎10‎-‎30T02:34:35.000000000Z) has successfully loaded and registered with Filter Manager.
Information	16/12/2015 14:04:36	Microsoft-Windows-FilterManager	6	None	File System Filter 'Wof' (10.0, ‎2015‎-‎10‎-‎30T02:38:16.000000000Z) has successfully loaded and registered with Filter Manager.
Information	16/12/2015 14:04:36	Microsoft-Windows-FilterManager	6	None	File System Filter 'FileInfo' (10.0, ‎2015‎-‎10‎-‎30T02:37:17.000000000Z) has successfully loaded and registered with Filter Manager.
Information	16/12/2015 14:04:36	Microsoft-Windows-Kernel-Boot	32	None	The bootmgr spent 0 ms waiting for user input.
Information	16/12/2015 14:04:36	Microsoft-Windows-Kernel-Boot	18	None	There are 0x1 boot options on this system.
Information	16/12/2015 14:04:36	Microsoft-Windows-Kernel-Boot	25	None	The boot menu policy was 0x1.
Information	16/12/2015 14:04:36	Microsoft-Windows-Kernel-Boot	27	None	The boot type was 0x0.
